年份,第几周,部门,"本周
新开户",本月新开户,"本月新增
有效户",本年新开户,"本年新增
有效户","本周
新增市值","本月
新增市值",本年新增市值,"本周
新开两融户","本月
新开两融户","本年
新开两融户","资产
总量（亿）","两融余额
（万）",本周净佣金收入（万）,本月净佣金收入（万）,本年净佣金收入（万）,本周净佣金收入（万）,本月净佣金收入（万）,本年净佣金收入（万）
2023,14,财富中心,4,4,1,47,30,121.995405,121.995405,1911.026068,0,0,7,7.12150669,2404.406703,3.490428,3.490428,39.472156,4.098751,4.098751,48.694365
2023,14,北京方庄,4,4,4,894,34,21.39936,21.39936,235.99397,0,0,1,1.90801194,345.732269,-,-,-,1.942478,1.942478,21.850571
2023,15,天津分公司,3,8,9,175,45,393.2134,411.08819,1942.999789,1,1,7,2.62786507,1663.212831,,,,1.845764,3.593428,31.262716
2023,15,事业中心,8,11,2,57,37,272.56681,894.38977,3379.44117,0,0,4,2.40292547,1686.85621,9.387056,14.859382,85.837557,10.6711,16.817621,96.944599
2023,15,经纪人,3,5,8,52,35,30.11028,136.90444,431.86248,0,0,0,9.84140433,4176.047148,,,,8.776885,15.508239,94.735623
2023,15,财富中心,4,8,6,51,35,173.657825,295.65323,1998.786679,0,0,7,7.11410368,2803.043323,3.280451,6.770879,42.752607,3.798202,7.896953,52.492567
2023,15,北京方庄,1,5,4,895,34,3.6571,25.05646,323.77355,0,0,1,1.93939287,358.927029,,,,2.613422,4.5559,24.463993
2023,16,天津分公司,4,12,10,179,46,136.9977,548.08589,1933.597815,0,1,7,2.57250328,1641.641976,,,,1.842262,5.43569,33.104978
2023,16,事业中心,5,16,7,61,40,222.08845,1113.14922,2365.431261,0,0,4,2.33507602,1375.496957,8.772721,23.611667,94.499371,9.331015,26.1282,106.164707
2023,16,经纪人,11,16,13,63,40,39.5503,176.45474,473.27985,0,0,0,9.69851657,4223.285844,,,,8.209738,23.717977,102.945361
2023,16,财富中心,0,8,7,51,36,288.6111,584.26433,2207.465134,0,0,7,6.92852992,2838.821607,3.127166,9.898045,45.879773,3.789658,11.686611,56.282225
2023,16,北京方庄,5,10,4,901,36,149.511,177.89646,496.02427,0,0,1,2.23534168,388.260716,,,,2.629443,7.294561,27.860185
2023,17,天津分公司,3,15,14,182,50,14.730361,562.816251,1887.604765,0,1,7,2.54022101,1529.081113,,,,2.334622,7.770312,35.4396
2023,17,事业中心,8,24,7,69,40,88.9588,1202.10802,1983.331953,0,0,4,2.29698456,1248.450792,10.581361,34.193028,105.080732,11.119757,37.247957,117.284464
